Year,Period_Code,Period_Label,Country_Code,Country_Label,Country_ValidFrom,Country_ValidTo,Country_IsTarget,Value,DataSource_Code,DataSource_Label,DataStatus_Code,DataStatus_Label,DataConfidentiality_Code,DataConfidentiality_Label,Comment_English,Comment_French,Comment_Confidentiality_Code,Comment_Confidentiality_Label
1970,A00,Annual,004,Afghanistan,1940,2102,TRUE,0.0449984270799263,3001,National Statistical Office (NSO) - Refers to a specific country -,00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,008,Albania,1940,2102,TRUE,5,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,012,Algeria,1940,2102,TRUE,4.93706000393706,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,016,American Samoa,1940,2102,TRUE,1,3001,National Statistical Office (NSO) - Refers to a specific country -,00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,020,Andorra,1940,2102,TRUE,0.846730807744134,3001,National Statistical Office (NSO) - Refers to a specific country -,00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,024,Angola,1940,2102,TRUE,2.862511e-8,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,028,Antigua and Barbuda,1940,2102,TRUE,2.000000001,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,032,Argentina,1940,2102,TRUE,3.79166666566667e-11,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,036,Australia,1940,2102,TRUE,0.892856999892857,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,040,Austria,1940,2102,TRUE,1.88949369018117,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,044,Bahamas,1940,2102,TRUE,1,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,048,Bahrain,1940,2102,TRUE,0.47618999947619,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,050,Bangladesh,1940,2102,TRUE,7.279,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,052,Barbados,1940,2102,TRUE,2.000000001,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,056,Belgium,1940,2102,TRUE,1.23946762508088,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,060,Bermuda,1940,2102,TRUE,1,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,064,Bhutan,1940,2102,TRUE,7.5000000065,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,068,Bolivia (Plurinational State of),1940,2102,TRUE,1.188e-5,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,072,Botswana,1940,2102,TRUE,0.716413520036937,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,076,Brazil,1940,2102,TRUE,1.9878537834480897e-12,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,084,Belize,1940,2102,TRUE,1.66667000066667,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,090,Solomon Islands,1940,2102,TRUE,0.892856999892857,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,092,British Virgin Islands,1940,2102,TRUE,1,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,096,Brunei Darussalam,1940,2102,TRUE,3.06122000206122,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,100,Bulgaria,1940,2102,TRUE,0.001169999999,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,104,Myanmar,1940,2102,TRUE,4.7619000037619,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,108,Burundi,1940,2102,TRUE,87.5000000875,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,116,Cambodia,1940,2102,TRUE,16.8623759064383,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,120,Cameroon,1940,2102,TRUE,276.403137026845,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
1970,A00,Annual,124,Canada,1940,2102,TRUE,1.04421874416667,4805,UNSD - NA Estimates (USD),00,Normal,0,Free,NA,NA,NA,NA
